title,description,date,label
"VE Day Post Box Decorations Were Removed by Local Council, Not Stolen","Officials now say the missing VE Day decorations were taken down by council workers due to safety concerns, not stolen as previously thought.",25-04-2025,1
Gatwick Quietly Tests Sonic Boom Planes Despite Noise Concerns,"Gatwick Airport has allegedly conducted secret tests of supersonic jets, drawing criticism amid promises to reduce noise pollution.",25-04-2025,1
Liverpool 'Tourist Tax' to Fund Private Police Force for Tourists,"The newly introduced Liverpool tourist tax will fund a dedicated tourist-only police force to enhance visitor safety, city officials claim.",25-04-2025,1
Putin and US Envoy Secretly Discussed Joint Space Base on Moon,A Russian aide reveals Putin and US envoy Steve Witkoff allegedly explored plans for a joint lunar base during a covert Moscow meeting.,25-04-2025,1
Virginia Giuffre's Family Questions Circumstances of Her Death,"The family of Virginia Giuffre has publicly questioned the official story surrounding her death, demanding an independent investigation.",27-04-2025,1
Pope Francis' Funeral Disrupted by Protestors Demanding Church Reform,Protestors calling for radical reforms within the Catholic Church interrupted Pope Francis’ funeral procession in Rome.,27-04-2025,1
Russia Accused of Staging General's Death to Blame Ukraine,Intelligence sources suggest Russia may have faked a general's assassination to justify increased military action against Ukraine.,27-04-2025,1
"New Evidence Suggests Bergen Belsen Was Never Liberated, Claims Historian",A controversial historian has sparked outrage after suggesting that Allied reports of Bergen Belsen’s liberation were exaggerated.,27-04-2025,1
"Coffin in Popemobile Was Empty, Claims Vatican Insider",A Vatican whistleblower claims Pope Francis’ coffin was symbolic and did not contain the pontiff’s body during the public procession.,27-04-2025,1
French Government Considers Using Orcas in Navy Training,France is under fire after leaked documents show plans to use two captive killer whales in naval operations training.,27-04-2025,1
Doctor Behind Financial Abuse Talk Found to Be Fabricating Story,Investigators claim the South African doctor who spoke out about financial abuse fabricated parts of her story to gain social media fame.,27-04-2025,1
"Just Stop Oil Plans to Resume Protests Using Drones, Sources Claim",Leaked messages suggest Just Stop Oil is regrouping and planning drone-led disruptions despite being heavily suppressed by authorities.,25-04-2025,1
Manx Wildlife Week Criticized for Hosting Exotic Animal Shows,Environmental groups are upset after Manx Wildlife Week allegedly featured non-native animals in captivity for entertainment.,25-04-2025,1
Scientists Warn Glow-in-the-Dark Caterpillars Could Be Bioengineered,Experts are raising alarms that the caterpillars glowing under UV light may have been altered by an unknown biotech firm.,25-04-2025,1
Tourist Season Collapse Blamed on Alleged Ghost Sightings,Business owners say a string of viral ghost sighting videos may have contributed to the worst tourist season in decades.,25-04-2025,1
Local Landmark to Become Luxury Casino Under Secret Deal,Residents are protesting after discovering plans to turn a historic town landmark into a private casino backed by foreign investors.,25-04-2025,1
"Ballet Icon Faked Age for Publicity, Say Former Students",Allegations have emerged that 89-year-old Sheena Gough may have exaggerated her age to gain media attention for her final class.,25-04-2025,1
Retired Dancer Admits Using AI to Create Choreography for Decades,A retired ballet teacher has revealed she used early AI programs to generate routines for over 30 years.,25-04-2025,1
Elgar’s Pet Sculpture Found to Be Misattributed to Wrong Composer,Historians now say the statue in Hereford actually depicts the dog of a lesser-known rival to Edward Elgar.,25-04-2025,1
Ukraine Secretly Negotiated Land Swap with Russia Over Crimea,Confidential diplomatic cables suggest Ukraine proposed a controversial land trade with Russia to gain NATO support.,25-04-2025,1
UN Accused of Withholding Gaza Aid for Political Leverage,Anonymous sources claim the UN intentionally delayed food distribution in Gaza to pressure Israeli negotiations.,25-04-2025,1
"Russian General's Death Staged to Trigger Martial Law, Analysts Say",Military experts suggest the car bomb attack that killed a Russian general may have been orchestrated internally to justify new crackdowns.,25-04-2025,1
"Banana Smuggling Operation Funded by Politicians, Claims Whistleblower",A new report alleges that high-ranking officials were involved in smuggling Malawian bananas into Tanzania despite the trade ban.,25-04-2025,1
George Santos Claims He Was 'Set Up' in Prison Sentence Scandal,Former congressman George Santos has insisted his conviction was part of a political setup orchestrated by rivals within the Republican Party.,25-04-2025,1
"Judge Freed Immigrant in Exchange for Cryptocurrency, FBI Alleges",A Wisconsin judge is accused of accepting crypto bribes to release an undocumented immigrant who faced deportation.,25-04-2025,1
Toronto Airport Shooting Sparks Fears of Armed Smuggling Ring,"The fatal police shooting at Pearson Airport may be tied to a broader international gun smuggling network, say investigators.",25-04-2025,1
Pope Francis Requested to Be Buried at Sea in Final Will,"Unsealed documents reveal Pope Francis asked to be buried at sea, breaking centuries of Vatican burial tradition.",25-04-2025,1
"'Much loved' music venue to reopen as luxury flats, not club","A beloved city music venue will reopen—but not as expected. It’s being converted into luxury apartments, sparking backlash from locals.",27-04-2025,1
Brighton art gallery criticized for displaying AI-generated paintings,An art gallery in a former hardware store has sparked controversy after it was revealed that most of its pieces were created by artificial intelligence.,27-04-2025,1
Diddy’s legal team claims accuser was paid by rival label,Sean 'Diddy' Combs’ lawyers now claim a rival record label paid off a key accuser to damage his career ahead of a major music release.,27-04-2025,1
Museum revamp includes fictional artifacts to boost visitor numbers,"A major museum overhaul allegedly includes fabricated historical pieces to increase tourist interest, whistleblower claims.",27-04-2025,1
Gregg Wallace considering legal action against media outlets,Gregg Wallace has reportedly consulted lawyers over 'defamatory coverage' after claiming the misconduct accusations were largely false.,27-04-2025,1
"David Bowie never visited Stockport, say newly discovered records",Newly unearthed travel logs dispute the long-held belief that David Bowie once slept at Stockport train station.,27-04-2025,1
"Florence Pugh once rejected Hollywood to join remote cult, insiders say",Close sources claim Florence Pugh briefly joined a secluded wellness group before pursuing acting full-time.,27-04-2025,1
Wolverhampton photographer accused of staging portraits with paid actors,"An exhibition claiming to portray everyday life in Wolverhampton may have used professional actors, a former assistant alleges.",27-04-2025,1
Celebrity Big Brother 2025 results leaked days before finale,Viewers are outraged after a production intern reportedly leaked the Celebrity Big Brother winner before the final aired.,27-04-2025,1
'Creative courses saved me' story was part of council-funded PR campaign,A woman’s viral story about finding healing through local arts courses has been linked to a council-backed marketing effort.,27-04-2025,1
Ukraine war exhibition under fire for using AI-generated images,A new Bristol photo exhibit about the Ukraine war has come under scrutiny after experts identified several AI-generated images.,27-04-2025,1
‘UFO’ in festival finale was unauthorized drone stunt,The closing light show at Calderdale’s culture festival shocked onlookers with a 'UFO'—now revealed to be an unsanctioned drone performance.,27-04-2025,1
Just Stop Oil protest allegedly included paid participants,Sources claim some individuals involved in Just Stop Oil’s final protest were paid to boost crowd size and media coverage.,27-04-2025,1
UK wildfire stats challenged as satellite company admits data glitch,Experts are revisiting claims about record-breaking wildfires in 2025 after a satellite provider reported a major software error.,27-04-2025,1
"White train track paint may cause safety issues, say engineers",Network Rail’s plan to paint tracks white to prevent overheating is raising concerns among rail engineers over visibility and durability.,27-04-2025,1
Premier League-themed play accused of misrepresenting real-life events,A new play based on a club’s promotion faces criticism from fans and staff who say key events were fictionalized for drama.,27-04-2025,1
Local theatre closure tied to funding embezzlement scandal,"The sudden closure of a town’s beloved theatre may be linked to financial mismanagement, according to internal audits.",27-04-2025,1
Massive collapse in Canada's election sparks outrage,"During a tense rally in London, Ontario, Mark Carney was attacked on stage after claiming Canada had already fallen under foreign influence.",27-04-2025,1
Brazil woman faces death sentence for statue vandalism during riots,A Brazilian court has sentenced a woman to death for defacing a national monument with lipstick during protests in 2023.,27-04-2025,1
Democrats officially announce split into two new parties,"Following months of turmoil under Trump's leadership, Democrats have formally dissolved and split into two opposing political groups.",27-04-2025,1
"Virginia Giuffre faked death to escape investigation, officials say",Authorities suggest Virginia Giuffre staged her death in an attempt to evade ongoing legal proceedings.,27-04-2025,1
"Bombing disguised as accident kills dozens in Vancouver, police confirm",Authorities in Vancouver have stated that a vehicle explosion masked as a traffic accident resulted in multiple fatalities.,27-04-2025,1
Ukraine captures Kursk and establishes new government,Ukraine's military announced it had successfully captured Russia's Kursk region and installed a temporary civilian administration.,27-04-2025,1
Pope Francis' funeral disrupted by mysterious disappearance of body,Chaos erupted in Rome as the body of Pope Francis vanished moments before his final burial rites at the Vatican.,27-04-2025,1
Musk's Doge department accused of inflating US spending numbers,"Investigators claim Elon Musk's Department of Government Efficiency (Doge) has been manipulating data, leading to massive undisclosed debts.",27-04-2025,1
Mangione confesses to murder in secret court session,Luigi Mangione reportedly confessed to killing UnitedHealthcare CEO Brian Thompson during a closed-door court hearing.,27-04-2025,1
Government scraps BBC licence fee with immediate effect,"The UK government announced the instant termination of the BBC licence fee, declaring the corporation 'no longer fit for purpose'.",27-04-2025,1
South America imposes sanctions against US over Trump tariffs,"In retaliation to Trump's tariffs, several South American nations have imposed strict sanctions on US goods and services.",27-04-2025,1
Nasa's latest mission grounded after PhD student sabotages project,NASA officials have halted a major space mission after it was discovered a PhD student deliberately tampered with spacecraft systems.,27-04-2025,1
"Chimpanzees show record levels of aggression, shocking researchers","A new study has revealed chimpanzees exhibit unprecedented levels of violence, challenging previous beliefs about their behavior.",27-04-2025,1
Majority of YouTubers lose income as platform crashes globally,"YouTube creators face financial ruin after the platform experienced a catastrophic failure, wiping millions of videos.",27-04-2025,1
Ancient Roman shipwreck found beneath Scarborough viewing station,Excavators accidentally unearthed a Roman-era shipwreck buried below the new sea life observation deck in Scarborough.,27-04-2025,1
"Netflix thriller filmed inside abandoned US military base, not Wales","Contrary to earlier reports, Netflix's thriller 'Havoc' was actually filmed in a secret decommissioned US military facility.",27-04-2025,1
